TRACT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
36055000700,1993,8,3,1,3,1,7,0,2,0,0,0,6,0,0,0,5,0,0,20,5,3
36055000700,1993,9,1,0,2,3,13,0,2,0,1,0,3,0,0,0,1,0,1,21,5,1
36055000700,1993,10,0,0,4,4,14,0,1,0,3,0,3,0,0,1,3,0,1,25,9,1
36055000700,1993,11,0,0,8,1,5,0,1,0,1,0,4,0,0,5,1,0,0,11,15,5
36055000700,1993,12,3,1,6,7,6,0,3,0,1,0,5,0,0,2,2,1,0,21,12,5
36055000700,1994,1,0,0,3,3,2,0,0,0,0,0,5,1,0,0,2,0,2,14,3,0
36055000700,1994,2,2,0,4,1,1,0,1,0,1,0,3,0,0,3,1,0,0,6,9,5
36055000700,1994,3,0,0,3,1,5,0,6,0,2,0,4,0,0,1,2,0,0,12,12,1
36055000700,1994,4,1,0,0,2,2,0,3,0,1,0,6,0,0,3,2,0,1,13,7,4
36055000700,1994,5,0,0,1,4,4,0,4,0,2,0,2,0,0,1,1,0,1,12,8,1
36055000700,1994,6,3,0,1,3,6,0,4,0,1,0,3,0,0,3,2,0,1,15,9,6
36055000700,1994,7,0,0,0,2,9,0,3,0,1,0,3,0,0,3,8,0,0,22,7,3
36055000700,1994,8,0,0,3,6,9,0,2,0,1,0,2,0,0,8,4,0,2,23,14,8
36055000700,1994,9,3,0,5,3,6,0,3,0,1,0,4,1,2,3,1,0,0,14,12,8
36055000700,1994,10,0,1,1,3,6,0,3,0,0,1,3,0,0,0,0,1,0,13,4,1
36055000700,1994,11,0,0,3,3,2,0,0,0,1,0,2,0,0,0,1,0,2,10,4,0
36055000700,1994,12,0,0,3,3,7,0,2,0,2,0,3,0,0,3,3,0,1,17,10,3
36055000700,1995,1,2,0,1,4,1,0,4,0,0,0,6,0,0,1,2,0,1,14,6,3
36055000700,1995,2,0,1,2,1,4,0,6,0,0,0,0,0,0,2,0,1,0,6,10,2
36055000700,1995,3,0,0,5,3,2,0,2,0,0,1,2,1,0,0,1,0,0,8,7,1
36055000700,1995,4,1,1,3,3,10,0,0,0,0,0,5,0,0,2,2,0,1,22,5,3
36055000700,1995,5,3,0,4,1,1,0,2,0,3,0,3,0,0,2,0,1,0,5,11,5
36055000700,1995,6,3,0,4,2,2,0,6,0,3,0,5,0,0,1,0,0,1,10,14,4
36055000700,1995,7,1,4,1,4,4,0,2,0,0,0,5,0,0,0,0,0,3,20,3,1
36055000700,1995,8,0,8,1,2,4,0,5,0,0,0,5,0,0,1,3,0,0,22,7,1
36055000700,1995,9,1,0,1,2,10,0,1,0,1,0,13,0,1,0,3,0,0,28,3,2
36055000700,1995,10,0,0,0,1,7,0,4,0,2,0,6,0,0,1,2,2,0,16,7,1
36055000700,1995,11,0,0,2,2,5,0,2,0,1,0,3,0,0,0,0,0,0,10,5,0
36055000700,1995,12,1,0,1,1,3,0,2,0,3,0,5,0,0,0,2,0,1,12,6,1
36055000700,1996,1,0,0,0,2,4,0,2,0,0,0,4,0,0,0,1,0,0,11,2,0
36055000700,1996,2,1,0,1,1,11,0,3,0,0,0,6,0,0,0,2,0,0,20,4,1
36055000700,1996,3,0,0,2,2,11,0,1,0,1,0,3,0,0,0,1,0,0,17,4,0
36055000700,1996,4,0,0,3,1,7,0,4,0,1,0,9,0,0,0,1,0,0,18,8,0
36055000700,1996,5,0,0,1,0,4,0,3,0,0,0,5,0,0,1,2,1,0,11,5,1
36055000700,1996,6,1,0,0,1,7,0,3,0,2,0,11,0,0,1,5,0,0,24,6,2
36055000700,1996,7,0,0,1,3,11,0,3,0,0,0,9,0,0,0,5,0,0,28,4,0
36055000700,1996,8,1,1,0,2,11,0,4,0,1,0,7,0,0,1,0,0,0,21,6,2
36055000700,1996,9,0,0,2,2,6,0,3,0,1,0,4,0,0,0,0,0,1,13,6,0
36055000700,1996,10,1,1,2,2,6,0,3,0,1,0,8,0,0,2,0,0,0,17,8,3
36055000700,1996,11,1,3,2,1,10,0,2,0,1,0,6,0,0,1,0,0,0,20,6,2
36055000700,1996,12,0,0,5,7,5,0,3,0,0,0,3,0,0,0,2,0,0,17,8,0
36055000700,1997,1,0,0,0,1,5,0,2,0,1,0,6,0,0,1,3,0,1,16,4,1
36055000700,1997,2,0,0,2,3,1,0,1,0,0,0,2,0,0,0,1,0,2,9,3,0
36055000700,1997,3,1,0,2,3,14,0,0,0,1,0,4,0,0,0,2,0,0,23,3,1
36055000700,1997,4,0,0,2,1,9,0,0,0,2,0,8,0,0,0,1,0,0,19,4,0
36055000700,1997,5,0,0,0,2,12,0,4,0,0,0,4,0,1,0,3,0,1,22,4,1
36055000700,1997,6,0,0,2,4,3,0,3,0,1,0,6,0,0,0,1,0,0,14,6,0
36055000700,1997,7,0,0,3,1,12,0,3,0,1,0,5,0,0,1,0,0,1,19,8,1
36055000700,1997,8,0,0,0,1,8,0,2,0,0,0,8,0,0,0,1,1,2,20,2,0
36055000700,1997,9,0,0,5,1,4,0,3,0,2,0,8,0,0,1,1,0,1,15,11,1
36055000700,1997,10,1,1,1,2,3,0,4,0,3,0,5,0,0,1,0,0,2,13,9,2
36055000700,1997,11,0,0,0,1,2,0,2,0,2,0,4,1,0,0,0,0,1,8,4,0
36055000700,1997,12,0,1,1,1,1,0,2,0,2,0,3,0,0,0,2,0,0,8,5,0
36055000700,1998,1,0,1,0,0,6,0,4,0,0,0,8,0,0,0,1,0,0,16,4,0
36055000700,1998,2,0,0,1,1,3,0,0,0,6,0,4,0,0,1,2,0,1,11,8,1
36055000700,1998,3,0,0,3,1,10,0,1,0,1,0,6,0,0,0,1,0,0,18,5,0
36055000700,1998,4,0,0,2,1,10,0,0,0,0,0,5,0,0,0,2,0,0,18,2,0
36055000700,1998,5,2,0,1,3,9,0,1,0,1,0,9,0,0,0,2,0,1,24,3,2
36055000700,1998,6,1,0,1,3,11,0,2,0,0,0,13,0,1,0,3,0,1,31,3,2
36055000700,1998,7,1,0,3,2,10,0,3,0,0,0,7,0,0,0,1,0,0,20,6,1
36055000700,1998,8,1,1,1,0,4,0,2,0,2,0,7,0,1,0,0,0,1,13,5,2
36055000700,1998,9,0,0,3,6,10,0,3,0,0,0,5,0,1,0,1,0,0,22,6,1
36055000700,1998,10,0,0,0,5,8,0,1,0,2,0,2,1,0,0,2,0,1,18,3,0
36055000700,1998,11,0,0,3,1,5,0,1,0,2,0,4,0,1,0,2,0,0,12,6,1
36055000700,1998,12,1,0,0,1,2,0,0,0,4,0,4,0,0,0,0,0,0,7,4,1
36055000700,1999,1,0,0,0,0,2,0,1,0,2,1,7,0,0,0,1,0,0,10,3,1
36055000700,1999,2,0,0,4,0,6,0,3,0,0,0,5,0,0,0,0,0,0,11,7,0
36055000700,1999,3,0,0,3,1,6,0,1,0,1,0,4,0,0,0,0,0,1,12,5,0
36055000700,1999,4,0,1,1,1,10,0,3,0,1,0,7,0,0,0,3,0,0,22,5,0
36055000700,1999,5,2,0,2,5,4,0,3,0,2,0,2,0,1,0,2,0,2,15,7,3
36055000700,1999,6,1,0,0,2,9,0,0,0,0,1,3,0,0,0,1,0,0,15,0,2
36055000700,1999,7,0,1,2,2,4,0,2,0,0,0,0,0,0,0,1,0,0,8,4,0
36055000700,1999,8,1,0,2,2,9,0,2,0,4,0,2,0,0,0,1,0,0,14,8,1
36055000700,1999,9,1,0,1,3,5,0,2,0,0,0,2,1,0,1,0,0,1,11,4,2
36055000700,1999,10,2,1,2,2,2,0,2,0,1,0,3,0,0,1,1,0,0,9,6,3
36055000700,1999,11,0,1,3,4,0,0,4,0,0,0,1,0,0,0,2,0,0,8,7,0
36055000700,1999,12,0,2,1,1,2,0,5,0,1,0,2,0,0,0,1,0,1,9,7,0
36055000700,2000,1,0,0,0,5,1,0,1,0,1,0,2,0,0,0,0,1,0,8,2,0
36055000700,2000,2,0,2,2,3,0,0,1,0,2,0,3,0,0,0,0,0,1,9,5,0
36055000700,2000,3,0,0,2,2,1,0,2,0,2,0,3,0,0,0,0,0,0,6,6,0
