TRACT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUTION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
101,2001,2,0,0,0,0,0,0,1,6,2,1,1,0,0,0,2,0,14,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,16,0
101,2001,3,3,1,0,0,0,0,1,5,5,3,0,1,0,0,2,0,8,0,4,0,0,0,0,0,2,0,1,6,1,1,0,0,5,20,15,2
101,2001,4,0,0,1,0,0,0,1,4,1,3,0,1,0,1,5,0,15,1,1,0,0,1,0,0,3,0,0,4,1,0,0,0,1,9,20,4
101,2001,5,0,0,0,0,0,0,1,8,0,2,0,0,0,2,3,0,10,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,13,0
101,2001,6,2,0,0,0,0,0,3,1,3,1,0,0,1,1,3,0,6,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,2,9,12,1
101,2001,7,2,0,1,0,0,0,0,3,4,1,0,1,0,0,3,0,11,0,5,0,0,1,1,0,0,0,1,6,1,0,0,0,0,15,16,1
101,2001,8,9,1,1,0,0,0,1,6,4,4,0,0,0,2,3,0,7,0,5,0,0,0,2,0,1,0,5,7,1,0,0,0,0,27,14,2
101,2001,9,2,0,0,0,0,1,1,4,3,0,0,0,0,0,1,0,10,0,2,0,0,0,1,1,1,0,0,4,0,0,0,0,0,13,14,2
101,2001,10,5,0,0,0,0,0,1,4,0,3,0,0,1,0,4,0,14,0,1,0,0,1,0,0,1,0,0,9,2,0,0,1,0,18,17,1
101,2001,11,2,0,0,1,0,0,2,4,2,1,0,0,0,0,0,0,8,1,1,0,0,0,0,0,1,0,0,4,1,1,0,0,1,13,12,1
101,2001,12,5,0,1,0,0,0,2,2,3,1,0,0,0,2,4,0,6,0,2,0,0,0,2,0,2,0,0,6,0,0,0,0,0,16,12,3
103,1990,1,0,0,0,0,0,0,8,8,7,1,0,0,0,0,0,0,6,2,19,0,0,0,0,0,0,0,1,5,2,2,0,0,0,20,33,0
103,1990,2,2,2,0,0,0,0,1,9,0,0,0,0,1,0,0,0,9,0,13,0,0,0,0,0,3,0,0,2,0,2,0,0,0,15,26,3
103,1990,3,2,1,0,0,0,0,4,0,6,0,0,0,0,0,0,0,6,0,4,0,0,0,2,0,2,0,0,1,0,2,0,0,0,10,16,2
103,1990,4,3,0,0,1,0,0,3,6,3,0,1,0,1,0,1,0,9,0,4,0,0,0,1,1,3,0,1,4,0,1,0,0,0,17,19,4
103,1990,5,2,0,0,0,0,0,2,8,2,0,0,0,0,0,1,0,5,0,9,0,0,0,3,0,4,0,0,3,1,1,0,0,0,15,20,4
103,1990,6,2,0,1,0,0,0,3,4,6,0,0,0,0,0,0,0,8,0,13,0,0,0,4,1,1,0,2,8,0,2,0,0,0,20,25,3
103,1990,7,0,0,0,0,0,0,2,6,1,0,1,0,1,0,1,0,11,1,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,26,0
103,1990,8,2,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,10,0,3,0,0,0,0,1,1,0,2,4,0,0,0,0,0,10,17,3
103,1990,9,8,2,1,0,0,0,2,7,0,2,0,0,0,0,1,0,6,0,16,0,0,1,0,0,0,0,0,2,0,0,1,0,0,19,24,1
103,1990,10,2,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,12,0,7,0,0,1,0,0,3,0,0,3,0,0,0,0,0,8,26,4
103,1990,11,3,1,1,0,0,0,4,5,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,2,3,0,0,5,0,0,0,0,0,14,32,6
